olay_id,medya_tipi,kaynak,baslik,icerik,referans,similarity,modification_score,provocative_score,misleading_label
6,karsit,Sozcu,Eğitim sistemine tepki büyüyor,"Yeni eğitim sistemine yönelik eleştiriler artmaya devam ediyor. Veliler ve öğretmenler, yapılan değişikliklerin yeterince planlanmadığını ifade ediyor. Eğitimde yaşanan sorunların öğrencileri olumsuz etkilediği belirtiliyor. Uzmanlar sistemin yeniden gözden geçirilmesi gerektiğini vurguluyor.",Eğitim alanında yapılan yeni düzenlemeler yürürlüğe girdi. Yetkililer sistemde çeşitli güncellemelerin yapıldığını açıkladı. Öğrenciler ve öğretmenler yeni uygulamalara uyum sağlamaya çalışıyor. Sürecin etkilerinin önümüzdeki dönemde daha net görüleceği ifade edildi.,0.12317331859257732,0.8768266814074227,0.125,3
6,notr,Hurriyet,Eğitim sisteminde değişiklikler,Eğitim alanında yapılan yeni düzenlemeler yürürlüğe girdi. Yetkililer sistemde çeşitli güncellemelerin yapıldığını açıkladı. Öğrenciler ve öğretmenler yeni uygulamalara uyum sağlamaya çalışıyor. Sürecin etkilerinin önümüzdeki dönemde daha net görüleceği ifade edildi.,Eğitim alanında yapılan yeni düzenlemeler yürürlüğe girdi. Yetkililer sistemde çeşitli güncellemelerin yapıldığını açıkladı. Öğrenciler ve öğretmenler yeni uygulamalara uyum sağlamaya çalışıyor. Sürecin etkilerinin önümüzdeki dönemde daha net görüleceği ifade edildi.,1.0000000000000002,-2.220446049250313e-16,0.08064516129032258,1
7,yandas,Sabah,Sağlık sisteminde büyük başarı,Sağlık alanında yapılan yatırımların olumlu sonuç verdiği açıklandı. Hastanelerde hizmet kalitesinin arttığı ve hasta memnuniyetinde yükseliş olduğu belirtildi. Yeni teknolojilerin sisteme entegre edildiği ifade edildi. Yetkililer sağlık hizmetlerinin daha erişilebilir hale geldiğini vurguladı.,Sağlık sisteminde son dönemde çeşitli değişiklikler yapıldı. Hastanelerde yeni uygulamaların devreye alındığı açıklandı. Yetkililer hizmet kalitesinin artırılmasının hedeflendiğini belirtti. Sürecin etkileri yakından takip ediliyor.,0.16296649476924074,0.8370335052307593,0.029411764705882353,0
7,karsit,Sozcu,Sağlıkta sorunlar devam ediyor,Sağlık sisteminde yaşanan sorunlar gündemde kalmaya devam ediyor. Randevu bulma ve yoğunluk problemlerinin sürdüğü ifade ediliyor. Vatandaşlar uzun bekleme sürelerinden şikayetçi. Uzmanlar sistemde yapısal sorunların çözülmesi gerektiğini belirtiyor.,Sağlık sisteminde son dönemde çeşitli değişiklikler yapıldı. Hastanelerde yeni uygulamaların devreye alındığı açıklandı. Yetkililer hizmet kalitesinin artırılmasının hedeflendiğini belirtti. Sürecin etkileri yakından takip ediliyor.,0.06214880412619752,0.9378511958738025,0.05172413793103448,1
7,notr,Hurriyet,Sağlık alanında gelişmeler,Sağlık sisteminde son dönemde çeşitli değişiklikler yapıldı. Hastanelerde yeni uygulamaların devreye alındığı açıklandı. Yetkililer hizmet kalitesinin artırılmasının hedeflendiğini belirtti. Sürecin etkileri yakından takip ediliyor.,Sağlık sisteminde son dönemde çeşitli değişiklikler yapıldı. Hastanelerde yeni uygulamaların devreye alındığı açıklandı. Yetkililer hizmet kalitesinin artırılmasının hedeflendiğini belirtti. Sürecin etkileri yakından takip ediliyor.,1.000000000000001,-1.1102230246251565e-15,0.04,0
8,yandas,Sabah,Dış politikada güçlü adımlar,Türkiye’nin dış politika alanında attığı adımların olumlu sonuçlar verdiği ifade edildi. Yetkililer uluslararası ilişkilerde etkinliğin arttığını belirtti. Yapılan anlaşmaların ülke çıkarlarını koruduğu vurgulandı. Türkiye’nin küresel ölçekte daha güçlü bir konuma geldiği ifade edildi.,Türkiye’nin dış politika gündeminde yeni gelişmeler yaşandı. Yetkililer farklı ülkelerle yürütülen temasların sürdüğünü açıkladı. Uluslararası ilişkilerde çeşitli anlaşmalar gündeme geldi. Sürecin etkileri ilerleyen dönemde değerlendirilecek.,0.15865760497905929,0.8413423950209407,0.0,0
8,karsit,Sozcu,Dış politikada yalnızlık eleştirisi,Türkiye’nin dış politikada yalnızlaştığı yönündeki eleştiriler gündemde yer alıyor. Uzmanlar bazı uluslararası ilişkilerin zayıfladığını ifade ediyor. Diplomatik sorunların arttığı belirtiliyor. Daha dengeli bir dış politika izlenmesi gerektiği savunuluyor.,Türkiye’nin dış politika gündeminde yeni gelişmeler yaşandı. Yetkililer farklı ülkelerle yürütülen temasların sürdüğünü açıkladı. Uluslararası ilişkilerde çeşitli anlaşmalar gündeme geldi. Sürecin etkileri ilerleyen dönemde değerlendirilecek.,0.12039422224908283,0.8796057777509172,0.10344827586206896,2
8,notr,Hurriyet,Dış politikada yeni gelişmeler,Türkiye’nin dış politika gündeminde yeni gelişmeler yaşandı. Yetkililer farklı ülkelerle yürütülen temasların sürdüğünü açıkladı. Uluslararası ilişkilerde çeşitli anlaşmalar gündeme geldi. Sürecin etkileri ilerleyen dönemde değerlendirilecek.,Türkiye’nin dış politika gündeminde yeni gelişmeler yaşandı. Yetkililer farklı ülkelerle yürütülen temasların sürdüğünü açıkladı. Uluslararası ilişkilerde çeşitli anlaşmalar gündeme geldi. Sürecin etkileri ilerleyen dönemde değerlendirilecek.,1.0000000000000016,-1.5543122344752192e-15,0.17307692307692307,1
9,yandas,Sabah,Enflasyon düşüşe geçti,Yetkililer enflasyon oranlarında düşüş eğilimi başladığını açıkladı. Alınan ekonomik önlemlerin etkili olduğu ifade edildi. Piyasalarda istikrarın sağlanmaya başladığı belirtildi. Önümüzdeki dönemde iyileşmenin devam etmesi bekleniyor.,Son enflasyon rakamları kamuoyuyla paylaşıldı. Açıklanan verilere göre fiyat değişimlerinde farklı eğilimler gözlemlendi. Uzmanlar verilerin detaylı analiz edilmesi gerektiğini belirtti. Önümüzdeki dönemde ekonomik gelişmeler yakından izlenecek.,0.08609715136883703,0.913902848631163,0.057692307692307696,1
9,karsit,Sozcu,Enflasyon halkı zorluyor,Yüksek enflasyon vatandaşın yaşamını zorlaştırmaya devam ediyor. Temel ihtiyaç ürünlerindeki fiyat artışları dikkat çekiyor. Vatandaşlar alım gücünün düştüğünü ifade ediyor. Ekonomistler mevcut durumun ciddi sorunlara yol açtığını belirtiyor.,Son enflasyon rakamları kamuoyuyla paylaşıldı. Açıklanan verilere göre fiyat değişimlerinde farklı eğilimler gözlemlendi. Uzmanlar verilerin detaylı analiz edilmesi gerektiğini belirtti. Önümüzdeki dönemde ekonomik gelişmeler yakından izlenecek.,0.03758537834999071,0.9624146216500092,0.017241379310344827,0
9,notr,Hurriyet,Enflasyon verileri açıklandı,Son enflasyon rakamları kamuoyuyla paylaşıldı. Açıklanan verilere göre fiyat değişimlerinde farklı eğilimler gözlemlendi. Uzmanlar verilerin detaylı analiz edilmesi gerektiğini belirtti. Önümüzdeki dönemde ekonomik gelişmeler yakından izlenecek.,Son enflasyon rakamları kamuoyuyla paylaşıldı. Açıklanan verilere göre fiyat değişimlerinde farklı eğilimler gözlemlendi. Uzmanlar verilerin detaylı analiz edilmesi gerektiğini belirtti. Önümüzdeki dönemde ekonomik gelişmeler yakından izlenecek.,1.0000000000000016,-1.5543122344752192e-15,0.05555555555555555,1
10,yandas,Sabah,Turizmde rekor beklentisi,Turizm sektöründe bu yıl rekor gelir beklendiği açıklandı. Yetkililer turist sayısında artış yaşandığını belirtti. Sektör temsilcileri sezonun oldukça hareketli geçtiğini ifade ediyor. Türkiye’nin turizmde güçlü bir performans sergilediği vurgulandı.,Yeni turizm sezonunun başlamasıyla birlikte sektörde hareketlilik arttı. Yetkililer turist sayısında artış gözlemlendiğini açıkladı. Otellerde doluluk oranlarının yükseldiği belirtildi. Sezonun genel performansı ilerleyen dönemde değerlendirilecek.,0.1244363695158684,0.8755636304841317,0.016666666666666666,0
10,karsit,Sozcu,Turizm gelirleri beklentiyi karşılamıyor,Turizm sektöründe beklenen gelir seviyesine ulaşılamadığı ifade ediliyor. Sektör temsilcileri maliyetlerin arttığını belirtiyor. Bazı bölgelerde doluluk oranlarının düşük kaldığı aktarılıyor. Uzmanlar sektörün desteklenmesi gerektiğini vurguluyor.,Yeni turizm sezonunun başlamasıyla birlikte sektörde hareketlilik arttı. Yetkililer turist sayısında artış gözlemlendiğini açıkladı. Otellerde doluluk oranlarının yükseldiği belirtildi. Sezonun genel performansı ilerleyen dönemde değerlendirilecek.,0.0645754165659804,0.9354245834340196,0.057692307692307696,1
10,notr,Hurriyet,Turizm sezonu başladı,Yeni turizm sezonunun başlamasıyla birlikte sektörde hareketlilik arttı. Yetkililer turist sayısında artış gözlemlendiğini açıkladı. Otellerde doluluk oranlarının yükseldiği belirtildi. Sezonun genel performansı ilerleyen dönemde değerlendirilecek.,Yeni turizm sezonunun başlamasıyla birlikte sektörde hareketlilik arttı. Yetkililer turist sayısında artış gözlemlendiğini açıkladı. Otellerde doluluk oranlarının yükseldiği belirtildi. Sezonun genel performansı ilerleyen dönemde değerlendirilecek.,1.0000000000000002,-2.220446049250313e-16,0.09615384615384616,1
11,yandas,Sabah,Deprem bölgesinde yaralar hızla sarılıyor,Deprem bölgesinde yürütülen çalışmaların hız kazandığı açıklandı. Yetkililer kalıcı konut projelerinin planlanan takvim doğrultusunda ilerlediğini belirtti. Yeni konutların tamamlanan bölümlerine vatandaşların yerleştirilmeye başlandığı ifade edildi. Altyapı ve sosyal destek çalışmalarının da eş zamanlı sürdürüldüğü vurgulandı.,Deprem bölgesinde kalıcı konut ve altyapı çalışmaları devam ediyor. Yetkililer projelerin belirli aşamalara ulaştığını açıkladı. Bölgede hem konut inşaatı hem de sosyal destek faaliyetleri eş zamanlı yürütülüyor. Çalışmaların tamamlanma süreci yakından takip ediliyor.,0.22435954866315427,0.7756404513368458,0.027777777777777776,0
11,karsit,Sozcu,Depremzedeler hâlâ konteynerde,Depremden etkilenen bölgelerde yaşayan vatandaşlar kalıcı konutların geciktiğini dile getiriyor. Birçok kişinin hâlâ geçici barınma alanlarında yaşamını sürdürdüğü ifade ediliyor. Yaşam koşullarının zor olduğu ve temel ihtiyaçlara erişimde sıkıntılar yaşandığı belirtiliyor. Depremzedeler yetkililerden daha hızlı çözüm bekliyor.,Deprem bölgesinde kalıcı konut ve altyapı çalışmaları devam ediyor. Yetkililer projelerin belirli aşamalara ulaştığını açıkladı. Bölgede hem konut inşaatı hem de sosyal destek faaliyetleri eş zamanlı yürütülüyor. Çalışmaların tamamlanma süreci yakından takip ediliyor.,0.04275861858032032,0.9572413814196796,0.06578947368421052,1
11,notr,Hurriyet,Deprem bölgesinde çalışmalar sürüyor,Deprem bölgesinde kalıcı konut ve altyapı çalışmaları devam ediyor. Yetkililer projelerin belirli aşamalara ulaştığını açıkladı. Bölgede hem konut inşaatı hem de sosyal destek faaliyetleri eş zamanlı yürütülüyor. Çalışmaların tamamlanma süreci yakından takip ediliyor.,Deprem bölgesinde kalıcı konut ve altyapı çalışmaları devam ediyor. Yetkililer projelerin belirli aşamalara ulaştığını açıkladı. Bölgede hem konut inşaatı hem de sosyal destek faaliyetleri eş zamanlı yürütülüyor. Çalışmaların tamamlanma süreci yakından takip ediliyor.,1.000000000000001,-1.1102230246251565e-15,0.0,0
12,yandas,Sabah,Yeni vergi düzenlemesi ekonomiyi güçlendirecek,Hükümet tarafından açıklanan yeni vergi düzenlemesinin bütçe dengesine katkı sağlayacağı ifade edildi. Yetkililer düzenlemenin ekonomik istikrarı destekleyeceğini belirtti. Yapılan değişikliklerin kamu gelirlerini artırarak yatırımlara kaynak oluşturması bekleniyor. Düzenlemenin orta ve uzun vadede olumlu etkiler yaratacağı vurgulandı.,Yeni vergi düzenlemesi Meclis gündemine taşındı. Yetkililer düzenlemenin kapsamı ve hedefleri hakkında bilgilendirme yaptı. Düzenlemenin ekonomik etkileri farklı açılardan değerlendiriliyor. Sürecin yasama aşaması devam ediyor.,0.16560867635473495,0.834391323645265,0.10810810810810811,2
12,karsit,Sozcu,Vergi yükü vatandaşa yansıyor,Yeni vergi düzenlemesinin vatandaş üzerindeki yükü artıracağı yönünde eleştiriler yapılıyor. Özellikle dar gelirli kesimlerin bu düzenlemeden olumsuz etkilenebileceği ifade ediliyor. Uzmanlar vergi artışlarının tüketimi ve yaşam standartlarını düşürebileceğini belirtiyor. Kamuoyunda düzenlemeye yönelik tartışmalar sürüyor.,Yeni vergi düzenlemesi Meclis gündemine taşındı. Yetkililer düzenlemenin kapsamı ve hedefleri hakkında bilgilendirme yaptı. Düzenlemenin ekonomik etkileri farklı açılardan değerlendiriliyor. Sürecin yasama aşaması devam ediyor.,0.06974080558765,0.9302591944123499,0.14285714285714285,3
12,notr,Hurriyet,Vergi düzenlemesi Meclis’te,Yeni vergi düzenlemesi Meclis gündemine taşındı. Yetkililer düzenlemenin kapsamı ve hedefleri hakkında bilgilendirme yaptı. Düzenlemenin ekonomik etkileri farklı açılardan değerlendiriliyor. Sürecin yasama aşaması devam ediyor.,Yeni vergi düzenlemesi Meclis gündemine taşındı. Yetkililer düzenlemenin kapsamı ve hedefleri hakkında bilgilendirme yaptı. Düzenlemenin ekonomik etkileri farklı açılardan değerlendiriliyor. Sürecin yasama aşaması devam ediyor.,0.9999999999999991,8.881784197001252e-16,0.19230769230769232,1
13,yandas,Sabah,Savunma sanayinde tarihi başarı,Savunma sanayinde yerli üretim kapasitesinin artırılmasıyla önemli başarılar elde edildiği açıklandı. Yetkililer dışa bağımlılığın azaldığını ve milli projelerin hız kazandığını belirtti. Yeni teknolojilerin geliştirilmesiyle birlikte sektörde ilerleme sağlandığı ifade edildi. Türkiye’nin bu alanda daha güçlü bir konuma geldiği vurgulandı.,Savunma sanayi alanında yeni projeler kamuoyuna tanıtıldı. Yetkililer yerli üretim çalışmalarının sürdüğünü açıkladı. Sektörde teknolojik gelişmelerin hız kazandığı ifade ediliyor. Projelerin ilerleyişi ilgili kurumlar tarafından takip ediliyor.,0.15419283215055055,0.8458071678494494,0.0125,0
13,karsit,Sozcu,Savunma harcamaları tartışma yarattı,Savunma harcamalarındaki artış kamuoyunda tartışma konusu olmaya devam ediyor. Uzmanlar bütçe kaynaklarının farklı alanlara yönlendirilmesi gerektiğini savunuyor. Yapılan harcamaların ekonomik etkileri üzerine farklı görüşler dile getiriliyor. Konunun şeffaflık açısından daha detaylı incelenmesi gerektiği ifade ediliyor.,Savunma sanayi alanında yeni projeler kamuoyuna tanıtıldı. Yetkililer yerli üretim çalışmalarının sürdüğünü açıkladı. Sektörde teknolojik gelişmelerin hız kazandığı ifade ediliyor. Projelerin ilerleyişi ilgili kurumlar tarafından takip ediliyor.,0.06658735879046977,0.9334126412095303,0.05555555555555555,1
13,notr,Hurriyet,Savunma projelerinde yeni gelişmeler,Savunma sanayi alanında yeni projeler kamuoyuna tanıtıldı. Yetkililer yerli üretim çalışmalarının sürdüğünü açıkladı. Sektörde teknolojik gelişmelerin hız kazandığı ifade ediliyor. Projelerin ilerleyişi ilgili kurumlar tarafından takip ediliyor.,Savunma sanayi alanında yeni projeler kamuoyuna tanıtıldı. Yetkililer yerli üretim çalışmalarının sürdüğünü açıkladı. Sektörde teknolojik gelişmelerin hız kazandığı ifade ediliyor. Projelerin ilerleyişi ilgili kurumlar tarafından takip ediliyor.,0.9999999999999998,2.220446049250313e-16,0.017857142857142856,0
14,yandas,Sabah,Tarımda rekor üretim,Tarım sektöründe bu yıl birçok üründe üretim artışı sağlandığı açıklandı. Yetkililer uygulanan politikaların olumlu sonuç verdiğini belirtti. Çiftçilere sağlanan desteklerin üretimi artırdığı ifade edildi. Tarımda verimliliğin yükselmesiyle birlikte ihracatın da artabileceği vurgulandı.,Tarım sektörüne ilişkin güncel üretim ve maliyet verileri açıklandı. Yetkililer bazı ürünlerde artış yaşandığını belirtti. Sektördeki gelişmeler farklı yönleriyle değerlendiriliyor. Önümüzdeki dönemde üretim trendlerinin nasıl şekilleneceği merak ediliyor.,0.10951332337669903,0.8904866766233009,0.015151515151515152,0
